REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,ALL_SEASONS_ALL_DAYS_PEAK,GAS_CCGT,ELEC,2025,720.000288000115
REGION1,ALL_SEASONS_ALL_DAYS_PEAK,GAS_TURBINE,ELEC,2025,0.0
REGION1,ALL_SEASONS_ALL_DAYS_PEAK,GAS_CCGT,GAS,2025,0.0
REGION1,ALL_SEASONS_ALL_DAYS_PEAK,GAS_TURBINE,GAS,2025,0.0
REGION1,ALL_SEASONS_ALL_DAYS_OFFPEAK,GAS_CCGT,ELEC,2025,43.6363477686007
REGION1,ALL_SEASONS_ALL_DAYS_OFFPEAK,GAS_TURBINE,ELEC,2025,0.0
REGION1,ALL_SEASONS_ALL_DAYS_OFFPEAK,GAS_CCGT,GAS,2025,0.0
REGION1,ALL_SEASONS_ALL_DAYS_OFFPEAK,GAS_TURBINE,GAS,2025,0.0
